,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,tweet_id,image_id,text_info,text_info_conf,image_info,image_info_conf,text_human,text_human_conf,image_human,image_human_conf,image_damage,image_damage_conf,tweet_text,image_url,image_path,preprocess_tweet_text,image_predict,text_predict,text_predict_task2,image_predict_task2,task2,tokenised_text,damage,structure
0,0,0,0,17754,17754,912369137296510977,912369137296510977_0,not_informative,0.6509,not_informative,1.0,not_humanitarian,0.6509,not_humanitarian,1.0,,,Pope Francis &amp; Donald Trump Calls For God's Help As Devastating Earthquake Leaves Nearlyâ€¦ https://t.co/bt9qJHSWMn https://t.co/RiunNrHHNp,http://pbs.twimg.com/media/DKli5PpVoAElAqd.jpg,../crisisApp/unzipped_data/a/912369137296510977_0.jpg,pope francis amp donald trump calls for god help as devastating eahquake leaves nearly ,1,0,2,1,2,"[2, 3075, 2790, 14308, 5159, 7095, 3029, 26, 701, 448, 28, 16737, 13, 62, 1307, 5418, 1048, 2084, 1212, 3]",no damage,no structure
1,6,6,6,5902,5902,922557506894909440,922557506894909440_0,informative,0.359,not_informative,0.6552,infrastructure_and_utility_damage,0.359,not_humanitarian,0.6552,,,U.S. Hospitals Wrestle With Shortages of Drug Supplies Made in Puerto Rico https://t.co/kanwi25OHu https://t.co/hfUHlStCqc,http://pbs.twimg.com/media/DM2VKa4X4AAakgq.jpg,../crisisApp/unzipped_data/a/922557506894909440_0.jpg, hospitals wrestle with shoages of drug supplies made in pueo rico ,0,0,2,1,2,"[2, 8899, 25992, 29, 5799, 14465, 16, 2531, 4852, 117, 19, 3323, 3894, 5738, 3]",no damage,no structure
2,12,12,12,7300,7300,930028600992165888,930028600992165888_2,informative,1.0,informative,1.0,other_relevant_information,1.0,infrastructure_and_utility_damage,1.0,severe_damage,0.7895,Some #pictures from #earthquake #Iran-Iraq border in Kermanshah shows different #damages. https://t.co/9jSv3o9QE9,http://pbs.twimg.com/media/DOggBcSX4AA6En-.jpg,../crisisApp/unzipped_data/a/930028600992165888_2.jpg,some pictures from eahquake iran iraq border in kermanshah shows different damages ,0,0,2,2,2,"[2, 109, 3104, 37, 13, 62, 1307, 5418, 1048, 2585, 4903, 1862, 19, 25496, 19082, 1285, 421, 15184, 3]",severe,building
3,13,13,13,3236,3236,911665589978112001,911665589978112001_0,informative,1.0,informative,0.6624,other_relevant_information,1.0,infrastructure_and_utility_damage,0.6624,severe_damage,0.8003,RT @MiamiHerald: Hurricane Maria could send wave of Puerto Rican students to Miami https://t.co/B8voWzODEE https://t.co/jxx3a5vINL,http://pbs.twimg.com/media/DKW6h65W4AET1_c.jpg,../crisisApp/unzipped_data/a/911665589978112001_0.jpg, hurricane maria could send wave of pueo rican students to miami ,0,0,1,2,2,"[2, 5195, 1926, 110, 2660, 2367, 16, 3323, 3894, 13983, 573, 20, 4519, 3]",severe,building
4,14,14,14,501,501,919573605700083713,919573605700083713_0,informative,1.0,informative,0.856,infrastructure_and_utility_damage,1.0,vehicle_damage,0.856,,,"Slideshow: Wildfires ravage California, melting cars, destroying homes https://t.co/DAs1N0lMbR https://t.co/GvnbxrsKFG",http://pbs.twimg.com/media/DML7UfxVAAAroQ8.jpg,../crisisApp/unzipped_data/a/919573605700083713_0.jpg,slideshow wildfires ravage california melting cars destroying homes ,0,0,2,2,2,"[2, 18066, 1544, 26150, 18, 14765, 1303, 751, 16047, 2137, 10498, 4437, 3]",severe,road-bridge-vehicle
5,23,26,26,4670,4670,915256404742688769,915256404742688769_0,informative,1.0,informative,1.0,infrastructure_and_utility_damage,1.0,infrastructure_and_utility_damage,1.0,severe_damage,0.6916,This is my friends home after #HurricaneMaria please help by donating https://t.co/9I4qePaKOO https://t.co/VMigoHoX0A,http://pbs.twimg.com/media/DLOk2JBWAAUiNi8.jpg,../crisisApp/unzipped_data/a/915256404742688769_0.jpg,this is my friends home after hurricanemaria please help by donating ,1,0,2,2,2,"[2, 48, 25, 51, 954, 213, 75, 5195, 21271, 2247, 448, 34, 221, 1880, 3]",severe,building
6,25,28,28,10317,10317,906343879909179392,906343879909179392_0,informative,0.3407,informative,0.6579,other_relevant_information,0.3407,infrastructure_and_utility_damage,0.6579,mild_damage,0.7057,I saw this in Houston today while doing #HurricaneHarvey cleanup. I â¤ï¸ Texas. https://t.co/eSxtC1RrX6,http://pbs.twimg.com/media/DJP68owV4AAoPnu.jpg,../crisisApp/unzipped_data/a/906343879909179392_0.jpg, saw this in houston today while doing hurricaneharvey cleanup texas ,0,0,1,2,2,"[2, 441, 48, 19, 4187, 786, 133, 845, 5195, 2269, 8704, 26862, 1338, 3]",mild,no structure
7,26,29,29,7267,7267,930016742730018816,930016742730018816_0,informative,0.6659,not_informative,0.6664,injured_or_dead_people,0.6659,not_humanitarian,0.6664,,,Iran-Iraq border earthquake live updates: Death toll crosses #TISNews Click Link- https://t.co/pqMmIrT93i https://t.co/NqM72HpUuh,http://pbs.twimg.com/media/DOgVTHYXUAA3DxF.jpg,../crisisApp/unzipped_data/a/930016742730018816_0.jpg,iran iraq border eahquake live updates death toll cro tisnews click link ,0,0,0,2,2,"[2, 2585, 4903, 1862, 13, 62, 1307, 5418, 1048, 515, 16779, 372, 20, 211, 4880, 13, 3409, 14962, 10840, 3508, 3]",no damage,no structure
8,27,30,30,1535,1535,923343614117384197,923343614117384197_0,informative,1.0,informative,0.6667,infrastructure_and_utility_damage,1.0,infrastructure_and_utility_damage,0.6667,severe_damage,0.411,Geospatial Analysis of California Wildfires Shows What Actually Burned https://t.co/CdWoecOcOL https://t.co/5htLAzR6eA,http://pbs.twimg.com/media/DNBgH15UMAA0e15.jpg,../crisisApp/unzipped_data/a/923343614117384197_0.jpg,geospatial analy of california wildfires shows what actually burned ,0,0,2,2,2,"[2, 6389, 18, 10563, 192, 13, 1629, 102, 16, 751, 26150, 18, 1285, 98, 1121, 3937, 3]",severe,no structure
9,28,31,31,15773,15773,910112563781881862,910112563781881862_0,informative,1.0,informative,1.0,other_relevant_information,1.0,infrastructure_and_utility_damage,1.0,severe_damage,0.6452,The Latest: Irma https://t.co/iHfeMkFeOV #news #usa #headline | Ὠ0 by https://t.co/ph3dzl6be9 https://t.co/ZOhHhn0bCA,http://pbs.twimg.com/media/DKFejXnV4AAO1ub.jpg,../crisisApp/unzipped_data/a/910112563781881862_0.jpg,the latest irma ,0,0,1,2,2,"[2, 14, 5736, 13, 1523, 540, 3]",severe,building
