,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,tweet_id,image_id,text_info,text_info_conf,image_info,image_info_conf,text_human,text_human_conf,image_human,image_human_conf,image_damage,image_damage_conf,tweet_text,image_url,image_path,preprocess_tweet_text,image_predict,text_predict,informative_tag
0,0,17754,17754,912369137296510977,912369137296510977_0,not_informative,0.6509,not_informative,1.0,not_humanitarian,0.6509,not_humanitarian,1.0,,,Pope Francis &amp; Donald Trump Calls For God's Help As Devastating Earthquake Leaves Nearlyâ€¦ https://t.co/bt9qJHSWMn https://t.co/RiunNrHHNp,http://pbs.twimg.com/media/DKli5PpVoAElAqd.jpg,912369137296510977_0.jpg,pope francis amp donald trump calls for god help as devastating eahquake leaves nearly ,1,0,0
1,1,17135,17135,910678493419200514,910678493419200514_0,informative,1.0,informative,1.0,injured_or_dead_people,1.0,injured_or_dead_people,1.0,,,Mexico earthquake: Family mourns 11 dead after church falls at baptism https://t.co/V7RhlHr8NU https://t.co/kWGi8UCToO,http://pbs.twimg.com/media/DKNhQ0JXUAAbxPT.jpg,910678493419200514_0.jpg,mexico eahquake family mourns 11 dead after church falls at baptism ,0,0,0
2,2,7589,7589,930482499427241984,930482499427241984_0,informative,1.0,informative,1.0,injured_or_dead_people,1.0,rescue_volunteering_or_donation_effort,1.0,,,Iran’s earthquake death toll raised to 530: declared an emergency https://t.co/rzx5zDge0h https://t.co/wvx2DrQlhG,http://pbs.twimg.com/media/DOm85ahX4AE4L0a.jpg,930482499427241984_0.jpg,iran eahquake death toll raised to 530 declared an emergency ,0,0,0
3,3,5302,5302,921432077534339072,921432077534339072_0,informative,1.0,not_informative,1.0,rescue_volunteering_or_donation_effort,1.0,not_humanitarian,1.0,,,Charleston Animal Society helping with homeless animals from Puerto Rico https://t.co/J1jq61H6jt #chsnews #scnews https://t.co/pCorEZqeN3,http://pbs.twimg.com/media/DMmHkIHWsAAMFte.jpg,921432077534339072_0.jpg,charleston animal society helping with homeless animals from pueo rico ,1,0,0
4,4,12476,12476,905692274050387968,905692274050387968_0,informative,0.3381,informative,1.0,other_relevant_information,0.3381,other_relevant_information,1.0,,,"NEWS US airlines brace themselves, passengers for Hurricane Irma – Fox Business https://t.co/WW6nbdEM87 https://t.co/oWntN3Zzud",http://pbs.twimg.com/media/DJGqUqYVYAAEq7s.jpg,905692274050387968_0.jpg,news us airlines brace themselves passengers for hurricane irma fox business ,0,0,0
5,5,15416,15416,909965919949955072,909965919949955072_0,not_informative,1.0,not_informative,0.6696,not_humanitarian,1.0,not_humanitarian,0.6696,,,ICYMI Tandberg- Joined at the hip. #ClimateSilence #climatechange #renewables #Harvey #Irma #Maria #auspol https://t.co/w34LhsiGgR,http://pbs.twimg.com/media/DKDZLmkVoAIFeZA.jpg,909965919949955072_0.jpg,icymi tandberg joined at the hip climatesilence climatechange renewables harvey irma maria auspol ,1,0,0
6,6,5902,5902,922557506894909440,922557506894909440_0,informative,0.359,not_informative,0.6552,infrastructure_and_utility_damage,0.359,not_humanitarian,0.6552,,,U.S. Hospitals Wrestle With Shortages of Drug Supplies Made in Puerto Rico https://t.co/kanwi25OHu https://t.co/hfUHlStCqc,http://pbs.twimg.com/media/DM2VKa4X4AAakgq.jpg,922557506894909440_0.jpg, hospitals wrestle with shoages of drug supplies made in pueo rico ,0,0,0
7,7,8599,8599,904516442485338114,904516442485338114_0,informative,1.0,not_informative,1.0,rescue_volunteering_or_donation_effort,1.0,not_humanitarian,1.0,,,HOUSTON TEXANS NFL Licensed Patch 100% of sale Donated Harvey Relief RED CROSS - https://t.co/EXDk2LFwnF https://t.co/Y5obwqLpzj,http://pbs.twimg.com/media/DI186KTXcAIVYTe.jpg,904516442485338114_0.jpg,houston texans nfl licensed patch 100 of sale donated harvey relief red cross ,1,0,0
8,8,16710,16710,910523478830227456,910523478830227456_0,informative,0.6397,informative,1.0,other_relevant_information,0.6397,rescue_volunteering_or_donation_effort,1.0,,,RT @Jentezen: We are praying for all the people in Mexico who are suffering from the earthquake. https://t.co/y55ZqWuOzX,http://pbs.twimg.com/media/DKIPQP4U8AA2I2B.jpg,910523478830227456_0.jpg, we are praying for all the people in mexico who are suffering from the eahquake ,0,0,0
9,9,16827,16827,910541703521685505,910541703521685505_0,not_informative,0.6411,not_informative,1.0,not_humanitarian,0.6411,not_humanitarian,1.0,,,New activation [#EMSR244]: Earthquake in Central Mexico https://t.co/3lcYxNNh4f #Copernicus #Earthquake #EUCivPro https://t.co/7VjkOPOda0,http://pbs.twimg.com/media/DKLk2jeXUAAxjMN.jpg,910541703521685505_0.jpg,new activation emsr244 eahquake in central mexico ,0,0,0
